,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Lynda M Rose,47,5384,29,0.001,0.163,,,0.9809
Susan M Ring,47,4870,29,0.0,0.101,,,0.9781
Andrew C Heath,63,6017,29,0.001,0.134,,,0.9837
Lyle J Palmer,39,6494,29,0.001,0.129,,,0.9854
Ramachandran S Vasan,52,3951,29,0.0,0.088,,,0.9706
Aaron Isaacs,41,6119,29,0.0,0.129,,,0.9841
Christa Meisinger,43,5775,29,0.001,0.119,,,0.9828
Peter K Gregersen,42,5034,29,0.002,0.041,,,0.979
Christopher I Amos,63,4114,29,0.007,0.12,,,0.9725
Christian Hengstenberg,32,8169,29,0.0,0.109,,,0.9904
Shih-Jen Hwang,46,3942,29,0.0,0.087,,,0.9704
Thomas Lumley,44,3752,29,0.0,0.071,,,0.9687
Hugh Watkins,40,7532,28,0.0,0.135,,,0.9889
Simon Heath,30,6677,28,0.002,0.089,,,0.9862
Oluf Pedersen,42,6957,28,0.001,0.13,,,0.9871
M Carola Zillikens,39,6943,28,0.0,0.12,,,0.9869
Ilja M Nolte,45,4323,28,0.001,0.15,,,0.9745
M Arfan Ikram,53,4184,28,0.001,0.142,,,0.973
Jarmo Virtamo,41,4723,28,0.002,0.119,,,0.9771
Muredach P Reilly,32,6591,28,0.001,0.092,,,0.9858
Zoltan Kutalik,61,6393,28,0.003,0.16,,,0.9851
Jonathan L Haines,47,5088,28,0.004,0.085,,,0.9792
Uwe Volker,53,4630,28,0.001,0.14,,,0.9762
Alistair S Hall,28,9359,28,0.0,0.096,,,0.9926
Brian E Henderson,47,4283,28,0.001,0.104,,,0.9739
Mary F Feitosa,42,7458,28,0.0,0.146,,,0.9887
Murielle Bochud,39,6360,27,0.0,0.123,,,0.985
Christopher Newton-Cheh,43,4837,27,0.0,0.091,,,0.9779
Jeffrey R O'Connell,45,6818,27,0.001,0.123,,,0.9866
Candace Guiducci,27,10727,27,0.001,0.096,,,0.9948
Matthias Nauck,46,3640,27,0.001,0.138,,,0.9676
Hreinn Stefansson,35,5753,27,0.001,0.079,,,0.9826
Matthew A Brown,41,4212,27,0.003,0.084,,,0.9732
Leif Groop,39,8090,27,0.001,0.102,,,0.9902
Ian J Deary,64,2922,27,0.001,0.154,,,0.9571
Graham G Giles,48,4414,27,0.002,0.127,,,0.9752
Jenny Chang-Claude,51,3741,27,0.001,0.106,,,0.9685
Yun Li,44,6303,27,0.003,0.105,,,0.9848
Angela Doring,35,5231,27,0.0,0.113,,,0.9802
Struan F A Grant,41,3028,27,0.002,0.07,,,0.9586
Peter Kovacs,37,6738,27,0.0,0.127,,,0.9864
Guangju Zhai,28,5053,27,0.0,0.087,,,0.9791
Michael N Weedon,37,10485,27,0.0,0.1,,,0.9944
Eleftheria Zeggini,46,8304,27,0.001,0.118,U.K,University of Leicester,0.9908
Kristian Hveem,34,8589,26,0.001,0.144,,,0.9913
Barbara McKnight,44,5249,26,0.0,0.12,,,0.9803
Bertram Muller-Myhsok,43,3157,26,0.002,0.103,,,0.9606
Beverley Balkau,29,7247,26,0.0,0.117,,,0.988
Qiong Yang,45,2920,26,0.0,0.097,,,0.957
Lars Lind,52,5651,26,0.001,0.158,,,0.9821
Nora Franceschini,51,2303,26,0.001,0.108,,,0.9432
Brenda W Penninx,33,4686,26,0.0,0.12,,,0.9767
Guillaume Pare,32,5600,26,0.0,0.097,,,0.982
Meredith Yeager,41,3935,26,0.001,0.066,,,0.9702
Elisabeth Widen,43,4385,26,0.001,0.13,,,0.975
Sven Bergmann,41,7055,26,0.001,0.134,,,0.9875
Iris M Heid,35,8310,26,0.0,0.117,,,0.9909
Aaron R Folsom,39,3998,26,0.0,0.082,,,0.971
